date,equity
2022-04-22,500000000.0
2022-04-25,493539229.0
2022-04-26,499641348.0
2022-04-27,499641348.0
2022-04-28,497338654.0
2022-04-29,494295806.0
2022-05-04,494295806.0
2022-05-05,494295806.0
2022-05-06,494295806.0
2022-05-09,494295806.0
2022-05-10,494295806.0
2022-05-11,494295806.0
2022-05-12,494295806.0
2022-05-13,494295806.0
2022-05-16,494295806.0
2022-05-17,494295806.0
2022-05-18,494295806.0
2022-05-19,494295806.0
2022-05-20,494295806.0
2022-05-23,494295806.0
2022-05-24,494295806.0
2022-05-25,494295806.0
2022-05-26,494295806.0
2022-05-27,494295806.0
2022-05-30,494295806.0
2022-05-31,492812697.0
2022-06-01,494491772.0
2022-06-02,493370963.0
2022-06-03,498819696.0
2022-06-06,501419875.0
2022-06-07,503778673.0
2022-06-08,502576111.0
2022-06-09,502046658.0
2022-06-10,491923123.0
2022-06-13,486802844.0
2022-06-14,491692537.0
2022-06-15,490470104.0
2022-06-16,492914954.0
2022-06-17,496582229.0
2022-06-20,490897963.0
2022-06-21,487719662.0
2022-06-22,483093134.0
2022-06-23,483093134.0
2022-06-24,483093134.0
2022-06-27,483093134.0
2022-06-28,483093134.0
2022-06-29,483093134.0
2022-06-30,483093134.0
2022-07-01,483093134.0
2022-07-04,483093134.0
2022-07-05,483093134.0
2022-07-06,483093134.0
2022-07-07,483093134.0
2022-07-08,483093134.0
2022-07-11,483093134.0
2022-07-12,483093134.0
2022-07-13,483093134.0
2022-07-14,483093134.0
2022-07-15,483093134.0
2022-07-18,483093134.0
2022-07-19,483093134.0
2022-07-20,483093134.0
2022-07-21,483093134.0
2022-07-22,484008453.0
2022-07-25,483432790.0
2022-07-26,484987107.0
2022-07-27,484987107.0
2022-07-28,488038178.0
2022-07-29,492228215.0
2022-08-01,492228215.0
2022-08-02,491729383.0
2022-08-03,493760251.0
2022-08-04,496437886.0
2022-08-05,495198369.0
2022-08-08,493750330.0
2022-08-09,491959331.0
2022-08-10,491630058.0
2022-08-11,492332077.0
2022-08-12,494712390.0
2022-08-15,500788841.0
2022-08-16,499653642.0
2022-08-17,498324246.0
2022-08-18,498953596.0
2022-08-19,497038809.0
2022-08-22,492087894.0
2022-08-23,494111194.0
2022-08-24,494385237.0
2022-08-25,495339407.0
2022-08-26,495504799.0
2022-08-29,493348018.0
2022-08-30,499241213.0
2022-08-31,497406588.0
2022-09-05,494323363.0
2022-09-06,496136798.0
2022-09-07,485123768.0
2022-09-08,481128115.0
2022-09-09,482583629.0
2022-09-12,483265134.0
2022-09-13,481471370.0
2022-09-14,478881921.0
2022-09-15,480169850.0
2022-09-16,480934552.0
2022-09-19,479787510.0
2022-09-20,480893550.0
2022-09-21,480771270.0
2022-09-22,479582027.0
2022-09-23,478220964.0
2022-09-26,477563051.0
2022-09-27,477661745.0
2022-09-28,474138001.0
2022-09-29,474138001.0
2022-09-30,474138001.0
2022-10-03,474138001.0
2022-10-04,474138001.0
2022-10-05,474138001.0
2022-10-06,474138001.0
2022-10-07,474138001.0
2022-10-10,474138001.0
2022-10-11,474138001.0
2022-10-12,474138001.0
2022-10-13,474138001.0
2022-10-14,474138001.0
2022-10-17,474138001.0
2022-10-18,474138001.0
2022-10-19,474347711.0
2022-10-20,474545092.0
2022-10-21,475383929.0
2022-10-24,469875418.0
2022-10-25,469875418.0
2022-10-26,469875418.0
2022-10-27,469875418.0
2022-10-28,469875418.0
2022-10-31,469875418.0
2022-11-01,469875418.0
2022-11-02,469875418.0
2022-11-03,469875418.0
2022-11-04,469875418.0
2022-11-07,469875418.0
2022-11-08,469875418.0
2022-11-09,469875418.0
2022-11-10,469875418.0
2022-11-11,469875418.0
2022-11-14,469875418.0
2022-11-15,465855590.0
2022-11-16,463277396.0
2022-11-17,465400223.0
2022-11-18,465400223.0
2022-11-21,465400223.0
2022-11-22,465400223.0
2022-11-23,465400223.0
2022-11-24,465400223.0
2022-11-25,465400223.0
2022-11-28,464007628.0
2022-11-29,467489122.0
2022-11-30,467721222.0
2022-12-01,462847128.0
2022-12-02,467953322.0
2022-12-05,468143217.0
2022-12-06,459043570.0
2022-12-07,459710418.0
2022-12-08,457117422.0
2022-12-09,456543729.0
2022-12-12,453651282.0
2022-12-13,456841788.0
2022-12-14,456431772.0
2022-12-15,457794936.0
2022-12-16,457049140.0
2022-12-19,455532824.0
2022-12-20,455992326.0
2022-12-21,454940202.0
2022-12-22,456125444.0
2022-12-23,456253864.0
2022-12-26,452711414.0
2022-12-27,455496614.0
2022-12-28,459906501.0
2022-12-29,455496614.0
2022-12-30,452247220.0
2023-01-03,458281808.0
2023-01-04,457094271.0
2023-01-05,457990316.0
2023-01-06,460079216.0
2023-01-09,461678892.0
2023-01-10,461602635.0
2023-01-11,461752365.0
2023-01-12,461915372.0
2023-01-13,463036059.0
2023-01-16,474622759.0
2023-01-17,479326464.0
2023-01-18,481581210.0
2023-01-19,489020880.0
2023-01-27,484859794.0
2023-01-30,481883289.0
2023-01-31,486588962.0
2023-02-01,474639222.0
2023-02-02,476246279.0
2023-02-03,475832145.0
2023-02-06,483743514.0
2023-02-07,477166022.0
2023-02-08,481675337.0
2023-02-09,478383954.0
2023-02-10,475632823.0
2023-02-13,478125379.0
2023-02-14,474368390.0
2023-02-15,477958174.0
2023-02-16,481979771.0
2023-02-17,484039307.0
2023-02-20,491540841.0
2023-02-21,487859740.0
2023-02-22,480859196.0
2023-02-23,483122334.0
2023-02-24,477920888.0
2023-02-27,474515234.0
2023-02-28,474564773.0
2023-03-01,478748813.0
2023-03-02,480154144.0
2023-03-03,474496912.0
2023-03-06,474213309.0
2023-03-07,478306084.0
2023-03-08,482546877.0
2023-03-09,483630455.0
2023-03-10,481123809.0
2023-03-13,478863932.0
2023-03-14,473989640.0
2023-03-15,481881140.0
2023-03-16,478833143.0
2023-03-17,478426352.0
2023-03-20,469161358.0
2023-03-21,470796715.0
2023-03-22,472679714.0
2023-03-23,473461920.0
2023-03-24,472814272.0
2023-03-27,473687250.0
2023-03-28,473584926.0
2023-03-29,474262568.0
